id_municipio,id_municipio_nome,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
4114609,Marechal Cândido Rondon,A820,Mal. Candido Rondon,2006-11-18,-24.53333333,-54.01916666,392.07
4112801,Joaquim Távora,A821,Joaquim Tavora,2006-11-23,-23.505266,-49.946387,512.67
4117271,Nova Tebas,A822,Nova Tebas,2006-12-21,-24.43722221,-51.96305555,656.24
4110201,Inácio Martins,A823,Inacio Martins,2006-10-16,-25.567879,-51.077946,1208.85
4109906,Icaraíma,A824,Icaraima,2006-11-16,-23.39027777,-53.63583333,381.29
4108601,Goioerê,A825,Goioere,2006-10-19,-24.15833333,-53.03055554,452.34
4115200,Maringá,A835,Maringa,2006-11-21,-23.40527777,-51.93277777,548.51
4117008,Nova Fátima,A842,Nova Fatima,2007-02-08,-23.41527777,-50.57777777,664.31
4107207,Dois Vizinhos,A843,Dois Vizinhos,2007-03-29,-25.69916666,-53.09527777,545.95
4108304,Foz do Iguaçu,A846,Foz Do Iguacu,2008-02-15,-25.60194444,-54.48305554,235.09
4107108,Diamante do Norte,A849,Diamante Do Norte,2008-03-06,-22.63944444,-52.89027777,368.22
4118303,Paranapoema,A850,Paranapoema,2008-03-04,-22.65833333,-52.13444444,308.7
4119806,Planalto,A855,Planalto,2007-11-07,-25.72194443,-53.74805555,399.1
4105607,Cidade Gaúcha,A869,Cidade Gaucha,2008-03-11,-23.359156,-52.931912,365.79
4112306,Japira,A871,Japira,2008-02-29,-23.77333332,-50.18055554,692.88
4128534,Ventania,A872,Ventania,2011-04-15,-24.28027777,-50.21027777,1093.41
4116208,Morretes,A873,Morretes,2008-03-13,-25.508935,-48.808681,50.31
4125605,São Mateus do Sul,A874,Sao Mateus Do Sul,2011-04-17,-25.83555555,-50.36888888,780.21
4108502,General Carneiro,A875,General Carneiro,2008-04-30,-26.3986111,-51.35361111,1009.01
4105706,Clevelândia,A876,Clevelandia,2008-05-15,-26.41722221,-52.3486111,966.06
